@relation save-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 {0,1}

@data
1.0092,1.1859,-1.1797,-0.35915,-1.5071,0.10579,1.2768,-0.15243,-0.74415,1.6901,-1.239,0.55464,-0.75851,-1.4337,0.57425,1.6264,0.66135,-0.81223,0.89776,1.0229,0
-0.094497,0.22374,1.3815,-1.3925,-0.75989,0.68235,-0.63941,0.28636,0.056428,-0.29139,-1.4347,1.1765,1.0206,0.63298,-0.70235,-1.2885,-1.1475,0.082638,0.75855,0.738,0
0.11515,0.080392,1.1604,0.34804,1.0598,0.12104,1.5059,-1.7322,1.0203,0.9244,-0.94252,-0.050684,1.6944,0.66861,0.2513,1.1821,0.24049,-0.40827,1.3192,-0.75021,0
-0.62816,-0.33107,0.018513,-0.71966,-0.19808,-0.76362,-0.94339,-1.1416,1.7831,-0.72224,-0.89964,1.8023,-0.86319,1.7507,0.35241,0.51899,2.2377,0.69441,1.3129,0.71435,0
0.38757,-0.38463,0.40389,1.7775,0.2592,-1.523,0.040832,0.46986,-1.4052,0.61183,-0.44206,-0.095097,0.43928,0.085326,1.4329,0.11566,1.2577,-0.85928,0.13512,0.16863,0
3.0743,1.058,0.97951,-0.86794,0.55492,-0.58669,0.30696,0.35139,0.11401,0.83499,-1.6435,-0.99499,-1.2469,0.26302,-1.1095,-0.23797,0.5458,0.1294,0.96995,0.020794,0
0.097586,-0.53166,-0.32774,0.171,-1.0214,-1.3637,1.0668,-1.161,-0.43328,1.0131,-0.50685,-0.016643,0.6577,-1.5754,0.21376,-0.1857,0.87411,0.28777,0.83512,-0.1564,0
-0.045595,-0.04727,0.54541,2.0424,0.19011,0.72359,-0.32315,1.1257,0.5446,0.49905,-0.77492,-1.716,0.13313,-0.46034,-1.7264,0.88292,1.3434,0.12725,1.6277,0.46644,0
0.85826,-1.0338,0.6872,1.0541,-0.43479,-0.10363,-0.93587,-0.066739,0.16892,-0.040811,-0.79373,1.2576,-1.0138,-1.4935,0.12683,-0.6467,0.19208,0.28654,2.0933,-1.0026,0
-1.5636,0.60375,0.37195,-0.016916,-1.4742,-1.853,1.4166,0.14169,-0.58863,0.14448,-0.31684,-1.1842,0.50897,-0.14797,0.78431,-0.6098,-0.10652,-0.42358,2.1093,1.9642,0
